issue,title,opened,age_years,labels,platform,subsystem,kind,priority_class,severity,validity_confidence,reproducibility,head_status,related,source_areas,root_cause_assessment,audit_depth
5364,--rebuild_chart_db hangs indefinitely with S-63/SENC charts on Raspberry Pi 5 (OpenCPN 5.14.0),2026-08-18,0.0,bug,Raspberry Pi|Flatpak,charts/S63,defect,B,crash/hang/data integrity,medium,reported deterministic with six cells,new/open; root cause not established,#4106; #4119; #2178,gui/src/ocpn_frame.cpp; chart catalogue; S63 plug-in boundary,"Chart rebuild can hang or OOM after catalogue corruption, but successful standalone OCPNsenc means the failing core/plug-in orchestration still needs tracing.",manual issue review
5360,Editing of the arrival radius for all waypoints in a route,2026-08-16,0.0,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,low,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5358,Issue a N2K heartbeat (0x1F011: PGN 126993 - Heartbeat),2026-08-13,0.0,enhancement,not established/cross-platform,communications/navigation,feature/enhancement,H,feature request,low,not established,not code-verified,,model/src/comm_*; model/src/georef.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5356,Plugin Manager confused by beta tag on local build,2026-08-12,0.0,bug,macOS,plugins,defect,C,serious functional defect,low,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5345,"Dragging Toolbar to top of screen is impossible with OCPN 5.14.0 on MacOS, and Toolbar moves outside screen",2026-08-04,0.0,bug,macOS|Linux,platform/build,defect,C,serious functional defect,low,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5342,Windows 64 bit,2026-08-02,0.0,enhancement,Windows,charts/rendering,feature/enhancement,H,feature request,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5340,Improve visibility of Tide Current symbol,2026-07-31,0.0,enhancement,Android|Windows,charts/rendering,feature/enhancement,H,feature request,low,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5336,Select tide/current by double click become impossible after a while in navigation Android,2026-07-28,0.1,bug,Android,AIS,defect,C,serious functional defect,low,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5335,"Show tide/current dialog by double click impossible when symbol overlap another objet as route, track etc.",2026-07-28,0.1,bug,Android|Windows,routes/tracks/storage,defect,C,serious functional defect,low,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5332,WaypointsShowName=1 not working as expected,2026-07-27,0.1,enhancement,Windows,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5329,Dashboard visibility not persistent for more than one dashboard in Android,2026-07-26,0.1,bug,Android|Windows,platform/build,defect,C,serious functional defect,low,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5327,Alarm silence and acknowledge,2026-07-22,0.1,enhancement,Linux,AIS,feature/enhancement,H,feature request,medium,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5325,Proposal: consolidate OpenCPN-Android into the main repo under `android/`,2026-07-19,0.1,enhancement,Android,platform/build,feature/enhancement,H,feature request,low,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
